FIPS,County,Years of Potential Life Lost Rate,% Fair or Poor Health,Injury Death Rate,Primary Care Physicians Ratio,% Uninsured,% Children in Poverty,% Unemployed,% Households with Broadband Access,PCP_Ratio_Numeric
37119,Mecklenburg,6928.6760736,15.5,63.722243152,1078:1,11.315632743,14.2,3.3576938388,93.139097332,1078.0
37121,Mitchell,10459.259312,16.7,125.49731649,2138:1,11.35144798,19.8,3.6204945854,80.471065356,2138.0
37123,Montgomery,14448.352327,19.6,125.2118104,3685:1,16.192888154,21.2,3.6245435925,78.669975186,3685.0
37125,Moore,9155.665447,14.2,99.372466785,901:1,10.19142391,12.6,3.441304954,89.573503994,901.0
37127,Nash,11978.98828,20.9,103.34543951,1983:1,14.010298329,21.3,4.5511829747,82.535477271,1983.0
37129,New Hanover,8454.0152961,13.5,95.34832121,1085:1,10.893820003,15.5,3.1426959955,91.873095257,1085.0
37131,Northampton,14714.148572,22.5,119.36411481,8565:1,10.152151102,31.8,4.5954870666,69.790706858,8565.0
37133,Onslow,10504.842311,16.9,85.881649165,3221:1,9.4608608657,16.2,4.0124787947,92.165866843,3221.0
37135,Orange,5802.0210001,12.1,57.608881459,549:1,8.1242133922,8.2,2.8912035643,93.56667139,549.0
37137,Pamlico,13807.723587,18.2,155.9615507,3086:1,12.475958456,25.4,3.2616487455,85.290742158,3086.0
37139,Pasquotank,11395.204483,18.2,99.209301864,1775:1,9.8906431992,23.2,4.0546083084,89.905157854,1775.0
37141,Pender,9267.4772165,17.7,97.034024714,2991:1,11.672752168,14.4,3.1952737899,88.02583637,2991.0
37143,Perquimans,13273.443934,17.0,116.60587215,6565:1,11.45689012,24.8,4.0015847861,84.121863799,6565.0
37145,Person,10159.373872,21.7,109.40309469,2795:1,10.917201185,19.2,3.4882506527,87.520819197,2795.0
37147,Pitt,10748.322995,17.7,88.60991509,878:1,10.460886456,23.2,3.9328547912,87.055201351,878.0
37149,Polk,10656.535167,13.2,127.44223436,1310:1,12.346322927,19.8,3.284401732,82.85779764,1310.0
37151,Randolph,12479.039103,21.2,132.95701379,2341:1,13.413899843,20.6,3.6063317275,86.036510444,2341.0
37153,Richmond,17666.001239,21.7,127.98906855,4747:1,12.467994096,31.0,4.565701559,84.551977703,4747.0
37155,Robeson,18937.527286,27.2,178.91232816,1972:1,15.197264661,37.9,4.9688925757,73.617349803,1972.0
37157,Rockingham,13516.305317,20.7,140.06768842,3260:1,12.506643542,18.6,3.9703868972,81.990363422,3260.0
37159,Rowan,12311.857797,19.2,127.82599082,2905:1,11.447315233,20.7,3.3829303276,88.720958416,2905.0
37161,Rutherford,13777.651332,20.6,123.15419995,2227:1,12.276668683,20.3,4.6121679239,82.616871639,2227.0
37163,Sampson,12311.650074,23.4,107.24155918,2360:1,16.631002311,26.0,3.5492172421,82.894798555,2360.0
37165,Scotland,16834.590939,25.4,132.63137166,1711:1,11.078355977,42.9,6.306787814,84.534583064,1711.0
37167,Stanly,10232.764578,18.3,108.01462157,2643:1,12.566150675,14.5,3.0228427187,87.268783762,2643.0
37169,Stokes,12066.980046,18.2,131.99193039,3713:1,10.413056037,15.2,3.1046129644,84.861154124,3713.0
37171,Surry,10741.719631,20.8,124.31244046,1779:1,13.372249181,16.3,3.1697863774,83.354900225,1779.0
37173,Swain,19176.993616,22.3,152.54668211,1571:1,19.41841368,23.3,2.9358055907,75.792359089,1571.0
37175,Transylvania,7664.9214692,14.1,102.58345223,1508:1,13.613323678,18.4,3.2275380796,86.175462646,1508.0
37177,Tyrrell,9472.8436931,20.1,124.05609493,,15.693581781,29.9,5.0566037736,74.474053296,
37179,Union,6695.6725976,13.9,56.222058997,1459:1,10.452556933,10.2,2.9963955965,93.385706121,1459.0
37181,Vance,16711.242726,23.1,132.47279495,2637:1,13.053192141,36.7,5.3844317096,81.904110441,2637.0
37183,Wake,5322.47904,12.6,54.507925551,1157:1,8.546122895,8.2,3.0008600308,94.655727993,1157.0
37185,Warren,14444.994832,25.2,124.30724608,18762:1,15.034426893,30.6,5.3701938354,76.494325347,18762.0
37187,Washington,16100.039388,24.4,104.15931078,2178:1,12.221055395,35.8,4.7905577413,72.930463576,2178.0
37189,Watauga,6649.3422664,16.2,64.774763752,1261:1,12.066357139,12.3,2.9997664253,89.016849955,1261.0
37191,Wayne,11853.559434,19.5,97.937521817,1947:1,13.634298817,22.2,3.7433466724,88.732724791,1947.0
37193,Wilkes,12046.845182,20.6,115.86383919,2632:1,13.462886908,20.7,3.7253636122,86.372567192,2632.0
37195,Wilson,12402.956136,24.3,99.986817658,2528:1,12.90794911,27.0,4.9437275352,81.72550213,2528.0
37197,Yadkin,12329.716173,19.8,120.53976212,4132:1,13.421034694,17.8,3.1462971377,83.797757336,4132.0
37199,Yancey,8896.6118694,16.8,110.2150831,1705:1,12.765646681,22.0,3.1179070601,80.508060576,1705.0
